Portal/Fonte,Domínio,Tipo de Conteúdo,Frequência de Atualização,RSS Feed URL,Relevância para Monitoramento,Origem
Meio & Mensagem,meioemensagem.com.br,"Publicidade, Mídia, Comunicação, Agências",Diária,https://meioemensagem.com.br/feed,ALTA - Principal portal de publicidade do Brasil,Original
Propmark,propmark.com.br,"Publicidade, Marketing, Agências, Mídia",Diária,https://propmark.com.br/feed,ALTA - Especializado em publicidade e marketing,Original
AdNews,adnews.com.br,"Publicidade, Marketing, Agências, Criatividade",Diária,https://adnews.com.br/feed,ALTA - Cobertura abrangente de agências e campanhas,Original
Janela,janela.com.br,"Publicidade, Propaganda, Comunicação",Diária,https://janela.com.br/feed,ALTA - Notícias diretas sobre agências,Original
Marcas Pelo Mundo,marcaspelomundo.com.br,"Comunicação, Publicidade, Marcas",Semanal,https://marcaspelomundo.com.br/feed,MÉDIA - Cobertura sobre comunicação e marcas,Original
Grandes Nomes da Propaganda,grandesnomesdapropaganda.com.br,"Publicidade, Propaganda, Agências",Variável,https://grandesnomesdapropaganda.com.br/feed,MÉDIA - Foco em publicidade e propaganda,Original
Clube de Criação,clubedecriacao.com.br,"Criatividade, Agências, Prêmios, Anuário",Variável,https://clubedecriacao.com.br/feed,ALTA - Anuário e premiação de agências,Original
Agência Caracará,agenciacarcara.com.br,"Publicidade, Comunicação, Agências",Variável,https://agenciacarcara.com.br/feed,MÉDIA - Cobertura geral de agências,Original
AB9 Consultoria,ab9.com.br,"Publicidade, Comunicação, Brasília",Variável,https://ab9.com.br/feed,MÉDIA - Publicidade em Brasília,Original
Dreamers,dreamers.gr,"Publicidade, Agências, Análise",Variável,https://dreamers.gr/feed,BAIXA - Análise estratégica ocasional,Original
Vira Página,virapagina.com.br,"Publicidade, Comunicação",Variável,https://virapagina.com.br/feed,MÉDIA - Publicidade e comunicação,Original
Vox News,voxnews.com.br,"Publicidade, Mídia, Comunicação",Variável,https://voxnews.com.br/feed,BAIXA - Publicidade como notícia geral,Original
IstoÉ Dinheiro,istoedinheiro.com.br,"Negócios, Publicidade, Agências",Diária,https://istoedinheiro.com.br/feed,MÉDIA - Agências em contexto empresarial,Original
Folha de S.Paulo,folha.uol.com.br,"Geral, Publicidade, Comunicação",Contínua,https://feeds.folha.uol.com.br/folha/indice,BAIXA - Publicidade em contexto geral,Original
O Globo,oglobo.globo.com,"Geral, Publicidade, Comunicação",Contínua,https://oglobo.globo.com/rss/,BAIXA - Publicidade em contexto geral,Original
Estadão,estadao.com.br,"Geral, Publicidade, Comunicação",Contínua,https://estadao.com.br/rss,BAIXA - Publicidade em contexto geral,Original
Content Marketing Brasil,contentmarketingbrasil.com,"Marketing Digital, Conteúdo",Semanal,https://contentmarketingbrasil.com/noticias/feed,MÉDIA - Marketing e conteúdo,Original
Doutores da Web,doutoresdaweb.com.br,"Marketing, Publicidade Digital",Variável,https://doutoresdaweb.com.br/feed,BAIXA - Marketing digital,Original
CITAS,citas.com.br,"Publicidade, Ranking, Agências",Variável,https://citas.com.br/feed,MÉDIA - Ranking e análise de agências,Original
Numecompany,numecompany.com,"Marketing Digital, Agências",Variável,https://numecompany.com/feed,MÉDIA - Reviews de agências,Original
Clutch.co,clutch.co,"Agências, Reviews, Ranking",Variável,https://clutch.co/feed,MÉDIA - Reviews de agências,Original
TheManifest,themanifest.com,"Agências, Reviews, Comentários",Variável,https://themanifest.com/feed,MÉDIA - Reviews de agências,Original
GoodFirms,goodfirms.co,"Agências, Reviews, Ranking",Variável,https://goodfirms.co/feed,MÉDIA - Reviews de agências,Original
TechBehemoths,techbehemoths.com,"Agências, Reviews, Ranking",Variável,https://techbehemoths.com/feed,MÉDIA - Reviews de agências,Original
Founderpal,founderpal.ai,"Agências, Startups, Ranking",Variável,https://founderpal.ai/feed,MÉDIA - Reviews de agências,Original
Cenp-Meios,cenp.com.br,"Publicidade, Dados, Ranking",Variável,https://cenp.com.br/feed,MÉDIA - Dados e ranking de agências,Original
